#! T[f,0]/V[f,1]/
0.32    13
0.31    12.8
0.30    12.6
0.29    12.6
0.28    12.6
0.27    12.6
0.26    12.4
0.25    12.6
0.24    12.4
0.23    12.2
0.22    12.2
0.21    12.2
0.20    12.2
0.19    12.0
0.18    11.8
0.17    11.6
0.16    11.6
0.15    11.4
0.14    11.2
0.13    10.8
0.12    10.6
0.11    10.2
0.10    9.6
0.09    9.2
0.08    8.4
0.07    7.6
0.065   7.0
0.06    6.4
0.055   5.6
0.05    5.0
0.045   4.0
0.040   3.0
0.035   2.0
0.027   0.9
0.026   1.1
0.025   1.46
0.024   1.8
0.023   2.1
0.022   2.5
0.021   2.8
0.020   3.1
0.019   3.6
0.018   4.0
0.017   4.5
0.016   4.9
0.015   5.3
0.014   5.8
0.013   6.4
0.012   6.8
0.011   7.3
0.01    7.8
0.009   8.3
0.008   8.8
0.007   9.3
0.006   9.8
0.005   10.4
0.004   10.8
0.003   11.4
0.002   12.0
0.001   12.0
