#! T[f,0]/V[f,1]/
0.040   1.4
0.039   1.4
0.038   1.6
0.037   1.6
0.036   1.6
0.035   1.8
0.034   1.8
0.033   2.0
0.032   2.0
0.031   2.2
0.030   2.2
0.029   2.4
0.028   2.6
0.027   2.6
0.026   2.8
0.025   2.8
0.024   3.0
0.023   3.2
0.022   3.4
0.021   3.6
0.020   3.8
0.019   4.20
0.018   4.4
0.017   4.6
0.016   5.0
0.015   5.2
0.014   5.4
0.013   5.8
0.012   6.0
0.011   6.4
0.010   7.0
0.009   7.2
0.008   7.8
0.007   8.2
0.006   9.0
0.005   9.4
0.004   10.2
0.003   10.8
0.002   11.8
0.001   12.6
0.0001  13.4
