#Voltage    Current     Average Deviation
#\ V= 300
#! I[f,0]/  D[f,1]/ dD[f,2]/
1.56    10.0    0.0025
1.64    9.50    0.0025
1.74    9.00    0.0025
1.84    8.50    0.0025
1.96    8.00    0.0025
2.08    7.50    0.0025
2.24    7.00    0.0025
2.42    6.50    0.0025
2.60    6.00    0.0025
2.86    5.50    0.0025
