#Voltage    Current     Average Deviation
#\ V= 400
#! I[f,0]/  D[f,1]/ dD[f,2]/
1.64    11.0    0.0025
1.72    10.5    0.0025
1.82    10.0    0.0025
1.92    9.50    0.0025
2.02    9.00    0.0025
2.14    8.50    0.0025
2.28    8.00    0.0025
2.44    7.50    0.0025
2.62    7.00    0.0025
2.82    6.50    0.0025
