#Voltage    Current     Average Deviation
#\ V= 200
#! I[f,0]/  D[f,1]/ dD[f,2]/
1.22    10.0    0.0025
1.30    9.50    0.0025
1.36    9.00    0.0025
1.46    8.50    0.0025
1.56    8.00    0.0025
1.66    7.50    0.0025
1.78    7.00    0.0025
1.92    6.50    0.0025
2.08    6.00    0.0025
2.28    5.50    0.0025
