
#! mm[f,0]/ V[f,1]/ dV[f,2]/
0 0.444 0.0005
0.10 0.377 0.0005
0.20 0.251 0.0005
0.30 0.141 0.0005
0.40 0.057 0.0005
0.50 0.009 0.0005
0.60 0.007 0.0005
0.70 0.007 0.0005
0.80 0.007 0.0005
0.90 0.007 0.0005
1.00 0.007 0.0005
1.10 0.007 0.0005
1.20 0.007 0.0005
1.30 0.007 0.0005
1.40 0.008 0.0005
1.50 0.008 0.0005
1.60 0.009 0.0005
1.70 0.011 0.0005
1.80 0.014 0.0005
1.90 0.019 0.0005
2.00 0.023 0.0005
2.10 0.029 0.0005
2.20 0.036 0.0005
2.30 0.042 0.0005
2.40 0.050 0.0005
2.50 0.060 0.0005
2.60 0.070 0.0005
2.80 0.092 0.0005
2.90 0.105 0.0005
3.00 0.118 0.0005
2.70 0.081 0.0005
3.10 0.133 0.0005
3.20 0.148 0.0005
3.30 0.163 0.0005
3.40 0.181 0.0005
3.50 0.198 0.0005
3.60 0.215 0.0005
3.70 0.234 0.0005
3.80 0.253 0.0005
3.90 0.272 0.0005
4.00 0.292 0.0005
4.10 0.312 0.0005
4.20 0.331 0.0005
4.30 0.352 0.0005
4.40 0.371 0.0005
4.50 0.390 0.0005
4.60 0.410 0.0005
4.70 0.429 0.0005
4.80 0.447 0.0005
4.90 0.466 0.0005
5.00 0.484 0.0005
5.10 0.500 0.0005
5.20 0.515 0.0005
5.30 0.531 0.0005 
5.40 0.545 0.0005
5.50 0.556 0.0005
5.60 0.570 0.0005
5.70 0.580 0.0005
5.80 0.589 0.0005
5.90 0.596 0.0005
6.00 0.602 0.0005
6.10 0.606 0.0005
6.20 0.610 0.0005
6.30 0.611 0.0005
6.40 0.610 0.0005
6.50 0.611 0.0005
6.60 0.608 0.0005
6.70 0.603 0.0005
6.80 0.597 0.0005
6.90 0.588 0.0005
7.00 0.578 0.0005
7.10 0.567 0.0005
7.20 0.555 0.0005
7.30 0.542 0.0005
7.40 0.528 0.0005
7.50 0.513 0.0005
7.60 0.497 0.0005
7.70 0.480 0.0005
7.80 0.462 0.0005
7.90 0.442 0.0005
8.00 0.421 0.0005
8.10 0.400 0.0005
8.20 0.381 0.0005
8.30 0.366 0.0005
8.40 0.339 0.0005
8.50 0.317 0.0005
8.60 0.295 0.0005
8.70 0.276 0.0005
8.80 0.253 0.0005
8.90 0.234 0.0005
9.00 0.212 0.0005
9.10 0.191 0.0005
9.20 0.173 0.0005
9.30 0.154 0.0005
9.40 0.136 0.0005
9.50 0.119 0.0005
9.60 0.096 0.0005
9.70 0.052 0.0005
9.80 0.011 0.0005
9.90 0.010 0.0005
10.00 0.011 0.0005
10.10 0.016 0.0005
